qid,absid
http://www.wikidata.org/entity/Q97987751,101705
http://www.wikidata.org/entity/Q97988389,101754
http://www.wikidata.org/entity/Q97983990,101784
http://www.wikidata.org/entity/Q97986343,110645
http://www.wikidata.org/entity/Q97983367,182656
http://www.wikidata.org/entity/Q97983680,99148
http://www.wikidata.org/entity/Q97986153,99201
http://www.wikidata.org/entity/Q97984764,99231
http://www.wikidata.org/entity/Q97984626,99316
http://www.wikidata.org/entity/Q97984226,99362
http://www.wikidata.org/entity/Q97986623,99500
http://www.wikidata.org/entity/Q97984842,99708
http://www.wikidata.org/entity/Q97983413,99743
http://www.wikidata.org/entity/Q97988115,99815
http://www.wikidata.org/entity/Q97985529,99858
http://www.wikidata.org/entity/Q97985111,99919
http://www.wikidata.org/entity/Q97987520,100214
http://www.wikidata.org/entity/Q97984915,100228
http://www.wikidata.org/entity/Q97984237,100264
http://www.wikidata.org/entity/Q84710860,100366
http://www.wikidata.org/entity/Q97988046,100399
http://www.wikidata.org/entity/Q97988201,100485
http://www.wikidata.org/entity/Q97985161,100553
http://www.wikidata.org/entity/Q97985318,100606
http://www.wikidata.org/entity/Q97986346,100639
http://www.wikidata.org/entity/Q97987105,100701
http://www.wikidata.org/entity/Q97983582,100725
http://www.wikidata.org/entity/Q97984017,100756
http://www.wikidata.org/entity/Q97987076,100823
http://www.wikidata.org/entity/Q97985547,101054
http://www.wikidata.org/entity/Q84711304,101258
http://www.wikidata.org/entity/Q97985935,101331
http://www.wikidata.org/entity/Q97986694,101472
http://www.wikidata.org/entity/Q97988625,101595
http://www.wikidata.org/entity/Q97988051,101688
http://www.wikidata.org/entity/Q97983396,108151
http://www.wikidata.org/entity/Q97988572,116517
http://www.wikidata.org/entity/Q97987133,152176
http://www.wikidata.org/entity/Q97986021,99075
http://www.wikidata.org/entity/Q97988146,99098
http://www.wikidata.org/entity/Q97983809,99271
http://www.wikidata.org/entity/Q97984653,99452
http://www.wikidata.org/entity/Q97984316,99562
